Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U
C,Enes Kanter,5200,LAC@OKC 08:00PM ET,24.227,OKC,1,0,24.964,16.444,29.438,24.250,14.000,31.200,0.256,0.000,209.500
C,Steven Adams,5100,LAC@OKC 08:00PM ET,26.470,OKC,1,0,28.107,20.297,30.812,29.000,14.000,30.600,0.281,0.000,209.500
PF/C,Montrezl Harrell,5000,NY@Hou 08:00PM ET,15.920,Hou,1,0,20.393,7.768,25.688,40.000,20.750,30.000,0.106,0.000,224.500
PG,Austin Rivers,4900,LAC@OKC 08:00PM ET,17.294,LAC,0,0,19.643,10.292,23.000,15.250,20.500,29.400,0.091,9.000,209.500
C,Clint Capela,4900,NY@Hou 08:00PM ET,26.804,Hou,1,0,26.679,20.607,20.062,14.500,21.500,29.400,0.362,0.000,224.500
SG,Jamal Crawford,4800,LAC@OKC 08:00PM ET,19.364,LAC,0,0,15.929,13.250,23.812,15.750,11.000,28.800,0.140,9.000,209.500
C,Tristan Thompson,4800,Cle@Cha 07:00PM ET,24.427,Cle,0,0,26.357,18.147,25.375,23.250,25.000,28.800,0.308,0.000,210.500
SF,T.J. Warren,4800,Pho@Uta 08:00PM ET,25.500,Pho,0,0,16.036,13.139,24.000,12.250,1.000,28.800,0.403,11.500,207.500
PF/C,Taj Gibson,4700,Mil@Chi 07:00PM ET,25.485,Chi,1,0,20.893,19.542,18.438,19.750,15.000,28.200,0.364,0.000,204.000
C,Cody Zeller,4700,Cle@Cha 07:00PM ET,24.000,Cha,1,0,24.071,19.542,27.250,23.750,6.000,28.200,0.274,1.000,210.500
SG,Rodney Hood,4700,Pho@Uta 08:00PM ET,23.911,Uta,1,0,22.393,13.841,9.562,26.250,15.000,28.200,0.335,0.000,207.500
C,Robin Lopez,4600,Mil@Chi 07:00PM ET,23.045,Chi,1,0,22.464,17.250,18.062,7.000,13.000,27.600,0.270,0.000,204.000
