Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
83,642118705,moklovin (24/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,Darren Collison,0.25%,15
83,642118706,moklovin (25/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,Matt Barnes,0.23%,0
83,642118707,moklovin (26/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,Luol Deng,0.22%,24
83,642118708,moklovin (27/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,Marvin Williams,0.22%,29.5
83,642118709,moklovin (28/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,Isaiah Whitehead,0.22%,18
83,642118710,moklovin (29/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,Terrence Ross,0.20%,9
83,642118711,moklovin (30/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,Tony Snell,0.20%,16.75
83,642118712,moklovin (31/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,Dwyane Wade,0.20%,0
83,642118713,moklovin (32/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,Patrick McCaw,0.20%,6.75
83,642118714,moklovin (33/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,Ish Smith,0.20%,10.75
83,642118715,moklovin (34/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,Wayne Ellington,0.19%,3
83,642118716,moklovin (35/50),0,315.75,PG Michael Carter-Williams SG James Harden SF Kawhi Leonard PF Taj Gibson C Pau Gasol F Spencer Hawes G Jerian Grant UTIL Kyle Lowry,,Marco Belinelli,0.19%,27.75
