Salary,max(s2.salary),avg(s2.salary),min(s2.salary),stddev(s2.salary),DKFPS,std(t2.DKFPS),min(t2.DKFPS),max(t2.DKFPS),player_id,Team,ou,odds,Home,OPP,Target,game_id,Position,Name,DISPLAY_FIRST_LAST,AdaBoost,Neural Network,Random Forest
4900,5300,5080,4800,172.0465053,29.2,6.995355602,20.5,41.25,1627752,ATL,209,7,1,TOR,,21700280,SG/SF,Taurean Prince,Taurean Prince,26.25,23.59825756,25.36720238
5200,4800,4660,4400,149.6662955,26.15,5.573598479,20,35.25,1628381,ATL,209,7,1,TOR,,21700280,PF/C,John Collins,John Collins,25.5,22.05507008,25.07529762
4000,4100,3900,3800,109.5445115,22.45,7.557115852,9.5,31.25,201158,ATL,209,7,1,TOR,,21700280,SG,Marco Belinelli,Marco Belinelli,20.5,18.55480334,21.58875992
5300,5400,5180,4900,203.9607805,30.2,9.468896451,19.25,44.5,203145,ATL,209,7,1,TOR,,21700280,SG/SF,Kent Bazemore,Kent Bazemore,29.25,26.60759554,26.75333333
6000,6200,6020,5700,172.0465053,27.6,6.554769256,18.5,34.75,1628369,BOS,205,-4,0,IND,,21700281,SF/PF,Jayson Tatum,Jayson Tatum,26.75,26.52212169,29.66291667
7000,7600,7420,6900,271.2931993,30.3,4.181506905,24.5,36.25,201143,BOS,205,-4,0,IND,,21700281,PF/C,Al Horford,Al Horford,28.75,33.22766076,35.26791667
8300,8500,8320,8100,160,44.65,9.634054183,35.25,62.75,202681,BOS,205,-4,0,IND,,21700281,PG,Kyrie Irving,Kyrie Irving,38.5,38.22260498,35.03603175
3200,3500,3300,3200,141.4213562,3.916666667,2.816124208,0,6.5,203499,BOS,205,-4,0,IND,,21700281,PG,Shane Larkin,Shane Larkin,8.25,8.913059643,7.986309524
6300,6700,6520,6300,132.6649916,33.7,4.419841626,28.5,40.25,1627759,BOS,205,-4,0,IND,,21700281,SG/SF,Jaylen Brown,Jaylen Brown,28.25,29.59744489,25.92875
4300,5300,4660,4400,338.2306905,15.05,12.90581264,2.5,38,1626179,BOS,205,-4,0,IND,,21700281,PG/SG,Terry Rozier,Terry Rozier,17,17.57174099,22.06316017
3000,3000,3000,3000,0,4,0,4,4,1627824,BOS,205,-4,0,IND,,21700281,PF/C,Guerschon Yabusele,Guerschon Yabusele,4.5,8.071980962,3.307470238
3200,3200,3200,3200,0,5.85,5.432770932,0,15.25,1628400,BOS,205,-4,0,IND,,21700281,SF/PF,Semi Ojeleye,Semi Ojeleye,7.25,8.60421101,10.51678571
5100,6300,5600,5100,389.8717738,20.75,5.742386264,13.75,31.25,203935,BOS,205,-4,0,IND,,21700281,SG/SF,Marcus Smart,Marcus Smart,20.5,24.42728543,21.99672619
3000,3000,3000,3000,0,2.5,3,-0.5,5.5,1627846,BOS,205,-4,0,IND,,21700281,PF,Abdel Nader,Abdel Nader,2.5,7.967590292,7.70780754
3300,3300,3300,3300,0,5.8125,4.893793901,2.5,14.25,1628464,BOS,205,-4,0,IND,,21700281,PF/C,Daniel Theis,Daniel Theis,7.5,8.706102226,10.88916667
3500,3800,3620,3500,116.6190379,12.8,9.353341649,5.5,30.75,203382,BOS,205,-4,0,IND,,21700281,C,Aron Baynes,Aron Baynes,13.25,15.13899389,16.84958333
5600,5900,5680,5300,203.9607805,23.7,4.202380278,15.5,27.5,1627734,IND,205,4,1,BOS,,21700281,PF/C,Domantas Sabonis,Domantas Sabonis,25,26.72479156,24.46202381
6300,7200,6860,6700,185.4723699,28.6,11.17318218,17.75,49.75,1626167,IND,205,4,1,BOS,,21700281,C,Myles Turner,Myles Turner,30.25,32.65637394,36.9453869
3000,3000,3000,3000,0,4.5,3.196677963,0,8.75,1628388,IND,205,4,1,BOS,,21700281,SF/PF,TJ Leaf,TJ Leaf,3.5,8.964025883,4.873333333
5900,6300,6080,5700,222.7105745,29.55,6.673454877,17,36.75,201152,IND,205,4,1,BOS,,21700281,SF/PF,Thaddeus Young,Thaddeus Young,28.25,31.69153255,27.47055556
3500,3700,3620,3600,40,17.95,7.073542253,6.25,26.25,202709,IND,205,4,1,BOS,,21700281,PG,Cory Joseph,Cory Joseph,15,16.13636517,16.37303571
5800,6100,5940,5500,224.4994432,33.9,5.662596578,30,45,201954,IND,205,4,1,BOS,,21700281,PG,Darren Collison,Darren Collison,22.5,32.20633327,22.62994048
4600,4500,4420,4300,74.83314774,29.05,8.207313811,21.75,40.75,202711,IND,205,4,1,BOS,,21700281,SG/SF,Bojan Bogdanovic,Bojan Bogdanovic,22.5,28.55120062,20.69065476
3000,3000,3000,3000,0,1,0,1,1,1626202,IND,205,4,1,BOS,,21700281,PG/SG,Joe Young,Joe Young,2,8.650027242,2.052678571
3500,3700,3560,3500,80,21.65,6.290071542,9.25,26.25,202362,IND,205,4,1,BOS,,21700281,SG/SF,Lance Stephenson,Lance Stephenson,19.25,17.71037367,17.14083333
3000,3000,3000,3000,0,2,0,2,2,2863,IND,205,4,1,BOS,,21700281,SG/SF,Damien Wilkins,Damien Wilkins,4.5,9.322042027,2.327916667
