Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,Final
C,Mason Plumlee,5700,Por@GS 10:30PM ET,29.889,Por,0,0,33.893,22.988,32.625,33.500,20.500,34.200,0.333,16.000,222.500,8.457,44.000
SF/PF,James Johnson,5700,Mia@Sac 10:30PM ET,24.185,Mia,0,1,28.286,15.667,31.188,37.750,20.500,34.200,0.162,7.500,204.000,-4.885,36.000
PG,Tyler Johnson,5600,Mia@Sac 10:30PM ET,27.947,Mia,0,1,31.464,21.708,31.750,25.750,17.500,33.600,0.252,7.500,204.000,-4.885,39.500
PF/C,Zach Randolph,5600,Mem@LAC 10:30PM ET,26.750,Mem,0,0,27.179,21.962,29.688,26.250,11.500,33.600,0.140,-1.500,197.000,-16.094,15.750
SG,Victor Oladipo,5500,OKC@Cha 07:00PM ET,28.471,OKC,0,0,30.250,19.750,20.188,33.250,20.500,33.000,0.345,2.000,208.500,0.361,31.250
PG,Rajon Rondo,5500,Chi@Cle 08:00PM ET,28.422,Chi,0,0,20.036,18.917,19.812,2.250,22.000,33.000,0.355,4.000,204.000,-15.269,0.000
C,Steven Adams,5300,OKC@Cha 07:00PM ET,26.729,OKC,0,0,28.857,20.750,30.188,41.000,24.500,31.800,0.249,2.000,208.500,0.361,42.000
PG/SG,Malcolm Brogdon,5300,Mil@NY 07:30PM ET,18.894,Mil,0,0,23.393,12.618,29.062,21.500,19.500,31.800,0.089,-3.500,213.000,3.606,31.500
C,Enes Kanter,5200,OKC@Cha 07:00PM ET,24.150,OKC,0,0,24.786,16.092,25.500,9.750,24.500,31.200,0.257,2.000,208.500,0.361,32.000
SF/PF,Justise Winslow,5200,Mia@Sac 10:30PM ET,25.833,Mia,0,1,24.143,20.250,23.875,32.750,20.500,31.200,0.293,7.500,204.000,-4.885,0.000
C,Joakim Noah,5000,Mil@NY 07:30PM ET,22.625,NY,1,0,22.214,14.676,33.125,31.000,13.000,30.000,0.253,3.500,213.000,3.606,33.000
